label,question,option-1,option-2,option-3,option-4,answer
ct-1, What is the activation function used in the McCulloch Pitts model?,a) Linear,b) Sigmoid,c) ReLU,d) Step,d
ct-1, Which learning algorithm is used in the Perceptron Network?,a) Backpropagation,b) Gradient Descent,c) Hebbian Learning,d) Reinforcement Learning,c
ct-1, What parameter is used to adjust the sensitivity of a neuron in a neural network?,a) Activation Function,b) Bias,c) Threshold,d) Learning Rate,b
ct-1, Which neural network model utilizes the concept of synaptic weights?,a) Hebbian Network,b) ADALINE Network,c) MADALINE Network,d) Perceptron Network,a
ct-1,What is the primary function of the McCulloch Pitts model?,a) Image Recognition,b) Sentiment Analysis,c) Logic Simulation,d) Speech Recognition,c
ct-1, What is the key characteristic of the Perceptron network that enables it to learn?,a) Activation Function,b) Feedback Loops,c) Synaptic Weights,d) Bias,c
ct-1, Which neural network model is based on the principle of synaptic plasticity?,a) McCulloch Pitts Model,b) Hebbian Network,c) ADALINE Network,d) MADALINE Network,b
ct-1, What is the primary learning rule used in the Hebbian network?,a) Error Correction Rule,b) Delta Rule,c) Competitive Learning Rule,d) Hebbian Learning Rule,d
ct-1, What type of neural network is primarily used for pattern recognition tasks?,a) McCulloch Pitts Model,b) Hebbian Network,c) ADALINE Network,d) MADALINE Network,d
ct-1, Which neural network model is also known as the Multiple Adaptive Linear Neuron?,a) McCulloch Pitts Model,b) Hebbian Network,c) ADALINE Network,d) MADALINE Network,d
ct-1, What parameter is adjusted in a neural network to shift the decision boundary?,a) Activation Function,b) Bias,c) Threshold,d) Learning Rate,b
ct-1, What is the primary function of the ADALINE network?,a) Classification,b) Regression,c) Clustering,d) Reinforcement Learning,b
ct-1, What is the primary function of the MADALINE network?,a) Classification,b) Regression,c) Clustering,d) Reinforcement Learning,a
ct-1, Which neural network model utilizes the concept of lateral inhibition?,a) McCulloch Pitts Model,b) Hebbian Network,c) ADALINE Network,d) MADALINE Network,a
ct-1, What is the primary learning rule used in the ADALINE network?,a) Error Correction Rule,b) Delta Rule,c) Competitive Learning Rule,d) LMS Algorithm,d
